# Simulation 13 (Up to date)
# 713 data points written for 4 variables.
#
# Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (ft/s)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,0,-5.0772
0.01,0,0,49.069
0.02,0.0024537,0.49077,103.23
0.03,0.012524,1.5232,156.96
0.04,0.035604,3.093,179.89
# Event LIFTOFF occurred at t=0.05 seconds
0.05,0.07553,4.8923,184.25
0.06,0.13367,6.7352,188.61
0.07,0.21045,8.6217,192.97
0.08,0.30632,10.552,197.33
0.09,0.4217,12.525,201.69
0.1,0.55704,14.543,206.06
0.11,0.71278,16.604,210.43
0.12,0.88934,18.708,213.89
0.13,1.0871,20.848,214.1
0.14,1.3063,22.989,214
0.15,1.5469,25.13,213.91
0.16,1.8089,27.269,213.81
0.17,2.0923,29.408,213.72
0.18,2.397,31.546,213.62
0.19,2.7232,33.682,213.52
0.19974,3.0614,35.762,213.43
# Event LAUNCHROD occurred at t=0.20891 seconds
0.20891,3.3985,37.721,213.35
0.22268,3.9377,40.657,213.17
0.24332,4.8224,45.058,212.9
0.27428,6.3195,51.651,212.49
0.32072,8.9476,61.523,211.87
0.37072,12.289,72.125,211.31
0.42072,16.159,82.7,210.76
0.47072,20.558,93.247,210.31
0.52072,25.483,103.77,211.16
0.57072,30.936,114.34,212.33
0.62072,36.918,124.96,213.46
0.67072,43.433,135.64,214.49
0.72072,50.483,146.36,215.43
0.77072,58.07,157.13,216.28
0.82072,66.197,167.94,217.03
0.87072,74.865,178.79,217.71
0.92072,84.077,189.67,218.36
0.97072,93.833,200.58,219.12
1.0207,104.14,211.53,220.45
1.0686,114.52,222.09,221.96
1.115,125.06,232.4,223.59
1.165,136.96,243.59,225.62
1.215,149.42,254.89,227.65
1.265,162.45,266.28,229.64
1.315,176.05,277.77,231.48
1.365,190.23,289.35,233.16
1.4083,202.97,299.44,234.4
1.4466,214.61,308.41,235.35
1.4903,228.32,318.7,235.67
1.5403,244.55,330.47,233.74
1.5903,261.36,342.15,231.66
1.6403,278.76,353.71,229.56
1.6903,296.73,365.18,227.64
1.7287,310.93,373.92,226.59
1.7709,326.9,383.48,225.37
1.8209,346.35,394.75,224.02
1.8709,366.37,405.96,222.77
1.9209,386.94,417.1,221.25
1.967,406.41,427.29,219.61
2.0151,427.25,437.86,216.55
2.0651,449.41,448.66,212.74
2.1151,472.11,459.28,208.9
2.1651,495.34,469.71,205.31
2.2084,515.86,478.6,202.78
2.2584,540.04,488.73,199.65
2.3084,564.73,498.71,196.58
2.3571,589.26,508.27,193.15
2.4071,614.91,517.91,189.19
2.4571,641.04,527.35,185.47
2.5071,667.64,536.6,182.53
2.5571,694.7,545.72,180.13
2.6071,722.21,554.72,177.7
2.6571,750.17,563.59,174.98
2.7071,778.57,572.33,172.06
2.7571,807.4,580.9,168.9
2.8071,836.65,589.33,165.95
2.8571,866.33,597.61,163.14
2.9071,896.41,605.76,156.67
2.9571,926.89,613.58,137.02
3.0071,957.74,620.41,78.058
3.0571,988.86,624.3,7.1158
3.1071,1020.1,624.65,-42.43
3.1571,1051.3,622.55,-55.692
3.2071,1082.3,619.77,-66.27
# Event BURNOUT occurred at t=3.24 seconds
3.24,1102.7,617.6,-70.271
3.2893,1133,614.15,-69.79
3.3393,1163.6,610.67,-69.392
3.3893,1194.1,607.21,-69.125
3.4393,1224.3,603.77,-68.308
3.4893,1254.5,600.37,-67.588
3.5393,1284.4,597,-67.243
3.5893,1314.2,593.65,-67.08
3.6393,1343.8,590.3,-66.733
3.6893,1373.2,586.98,-66.161
3.7393,1402.5,583.68,-65.586
3.7893,1431.6,580.42,-64.972
3.8393,1460.5,577.18,-64.517
3.8893,1489.3,573.96,-64.248
3.9393,1517.9,570.76,-64.084
3.9893,1546.3,567.56,-63.651
4.0393,1574.6,564.4,-62.977
4.0893,1602.8,561.26,-62.467
4.1393,1630.8,558.15,-62.134
4.1893,1658.6,555.05,-61.863
4.2393,1686.3,551.96,-61.554
4.2893,1713.8,548.89,-61.293
4.3393,1741.2,545.83,-60.827
4.3893,1768.4,542.81,-60.359
4.4393,1795.4,539.8,-59.917
4.4893,1822.4,536.81,-59.644
4.5393,1849.1,533.84,-59.298
4.5893,1875.7,530.88,-59.026
4.6393,1902.2,527.94,-58.65
4.6893,1928.5,525.01,-58.321
4.7393,1954.7,522.1,-57.996
4.7893,1980.8,519.22,-57.547
4.8393,2006.6,516.34,-57.322
4.8893,2032.4,513.48,-57.09
4.9393,2058,510.64,-56.788
4.9893,2083.4,507.81,-56.425
5.0393,2108.8,504.99,-56.071
5.0893,2133.9,502.2,-55.721
5.1393,2159,499.42,-55.504
5.1893,2183.9,496.65,-55.295
5.2393,2208.7,493.89,-54.998
5.2893,2233.3,491.15,-54.586
5.3393,2257.8,488.43,-54.316
5.3893,2282.1,485.72,-53.978
5.4393,2306.3,483.03,-53.615
5.4893,2330.4,480.36,-53.387
5.5393,2354.4,477.69,-53.194
5.5893,2378.2,475.03,-53.186
5.6393,2401.9,472.38,-53.076
5.6893,2425.4,469.73,-52.841
5.7393,2448.9,467.1,-52.433
