# noFinsADAS3 (Up to date)
# 715 data points written for 4 variables.
#
# Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (ft/s)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,0,-5.0772
0.01,0,0,49.069
0.02,0.0024537,0.49077,103.23
0.03,0.012524,1.5232,156.96
0.04,0.035604,3.093,179.89
# Event LIFTOFF occurred at t=0.05 seconds
0.05,0.07553,4.8923,184.25
0.06,0.13367,6.7352,188.6
0.07,0.21045,8.6217,192.96
0.08,0.30632,10.552,197.33
0.09,0.4217,12.525,201.69
0.1,0.55704,14.543,206.06
0.11,0.71277,16.604,210.43
0.12,0.88933,18.708,213.9
0.13,1.0871,20.848,214.1
0.14,1.3063,22.989,214.01
0.15,1.5469,25.13,213.92
0.16,1.8089,27.27,213.83
0.17,2.0923,29.408,213.74
0.18,2.397,31.546,213.64
0.19,2.7232,33.683,213.55
0.19974,3.0614,35.763,213.46
# Event LAUNCHROD occurred at t=0.20891 seconds
0.20891,3.3985,37.722,213.38
0.22267,3.9378,40.659,213.2
0.24332,4.8224,45.06,212.94
0.27428,6.3196,51.655,212.53
0.32072,8.9478,61.528,211.91
0.37072,12.289,72.133,211.35
0.42072,16.16,82.709,210.79
0.47072,20.559,93.258,210.34
0.52072,25.485,103.78,211.2
0.57072,30.938,114.35,212.4
0.62072,36.922,124.98,213.58
0.67072,43.438,135.66,214.73
0.72072,50.489,146.41,215.85
0.77072,58.079,157.2,216.92
0.82072,66.211,168.05,217.95
0.87072,74.886,178.95,218.94
0.92072,84.107,189.9,219.92
0.97072,93.877,200.9,220.95
1.0207,104.2,211.95,222.4
1.0707,115.07,223.07,223.97
1.1207,126.51,234.27,225.59
1.1707,138.5,245.56,227.26
1.2207,151.06,256.93,228.93
1.2707,164.2,268.38,230.56
1.3207,177.9,279.91,232.15
1.3707,192.19,291.52,233.68
1.4207,207.06,303.2,235.14
1.4707,222.51,314.96,236.25
1.5207,238.56,326.77,235.12
1.5707,255.19,338.52,233.45
1.6207,272.41,350.19,231.73
1.6707,290.2,361.77,230.01
1.7207,308.58,373.26,228.34
1.7707,327.53,384.68,226.73
1.8207,347.05,396.01,225.16
1.8707,367.13,407.26,223.53
1.9207,387.77,418.44,221.81
1.9707,408.97,429.52,219.87
2.0207,430.72,440.5,216.75
2.0707,453.02,451.33,213.27
2.1207,475.85,461.98,209.81
2.1707,499.21,472.46,206.42
2.2207,523.09,482.77,203.1
2.2707,547.48,492.91,199.79
2.3207,572.38,502.89,196.38
2.3707,597.77,512.7,192.84
2.4207,623.64,522.33,189.21
2.4707,650,531.77,185.81
2.5207,676.82,541.05,183.03
2.5707,704.1,550.19,180.39
2.6207,731.83,559.19,177.73
2.6707,760.01,568.07,174.98
2.7207,788.63,576.8,172.06
2.7707,817.69,585.38,169.03
2.8207,847.17,593.81,166.09
2.8707,877.07,602.1,163.34
2.9207,907.38,610.26,153.44
2.9707,938.08,617.92,126.25
3.0207,969.13,624.21,59.203
3.0707,1000.4,627.16,-11.404
3.1207,1031.8,626.6,-46.461
3.1707,1063,624.28,-59.319
3.2207,1094.2,621.33,-68.037
# Event BURNOUT occurred at t=3.24 seconds
3.24,1106.1,620.02,-70.407
3.2689,1124,617.99,-70.143
3.3123,1150.8,614.95,-69.78
3.3623,1181.4,611.48,-69.306
3.4123,1211.9,608.02,-68.769
3.4623,1242.3,604.6,-68.242
3.5123,1272.4,601.2,-67.734
3.5623,1302.4,597.82,-67.271
3.6123,1332.2,594.47,-66.819
3.6623,1361.8,591.14,-66.435
3.7123,1391.3,587.83,-65.97
3.7623,1420.6,584.55,-65.448
3.8123,1449.7,581.28,-65.017
3.8623,1478.7,578.04,-64.632
3.9123,1507.6,574.82,-64.218
3.9623,1536.2,571.62,-63.78
4.0123,1564.7,568.44,-63.342
4.0623,1593.1,565.29,-62.941
4.1123,1621.2,562.15,-62.591
4.1623,1649.3,559.03,-62.204
4.2123,1677.1,555.93,-61.771
4.2623,1704.9,552.85,-61.356
4.3123,1732.4,549.79,-61.011
4.3623,1759.8,546.75,-60.676
4.4123,1787.1,543.72,-60.38
4.4623,1814.2,540.71,-60
4.5123,1841.2,537.72,-59.593
4.5623,1868,534.75,-59.181
4.6123,1894.7,531.8,-58.856
4.6623,1921.2,528.87,-58.525
4.7123,1947.5,525.95,-58.221
4.7623,1973.8,523.05,-57.954
4.8123,1999.8,520.16,-57.649
4.8623,2025.8,517.28,-57.275
4.9123,2051.6,514.43,-56.898
4.9623,2077.2,511.59,-56.569
5.0123,2102.7,508.77,-56.265
5.0623,2128.1,505.96,-56.026
5.1123,2153.3,503.17,-55.789
5.1623,2178.4,500.39,-55.497
5.2123,2203.4,497.62,-55.154
5.2623,2228.2,494.87,-54.807
5.3123,2252.9,492.14,-54.493
5.3623,2277.4,489.42,-54.214
5.4123,2301.8,486.72,-53.999
5.4623,2326.1,484.02,-53.756
5.5123,2350.2,481.34,-53.523
5.5623,2374.2,478.67,-53.292
5.6123,2398.1,476.01,-52.973
5.6623,2421.8,473.37,-52.632
5.7123,2445.4,470.75,-52.33
